1A_1A_A10	1474	0.00001	0.00001	0.00381554	-141.6019806
1A_1A_A11	1511	0.00001	0.00001	0.010307085	-165.5952194
1A_1A_A12	1425	0.00001	0.00001	0.010966815	-169.5862684
1A_1A_A1	1575	0.00001	0.001381265	0.010076206	-183.740392
1A_1A_A2	1487	0.00001	0.00001	0.006394036	-173.1289672
1A_1A_A4	1499	0.00001	0.00001	0.02252907	-196.4759477
1A_1A_A5	1352	0.001108192	0.00001	0.017618298	-208.1300624
1A_1A_A7	1528	0.00001	0.00001	0.003946513	-145.9317169
1A_1A_A8	1461	0.00001	0.00001	0.014170414	-169.5290755
1A_1A_A9	1425	0.00001	0.00001	0.009165034	-187.8952819
1A_1A_B10	1418	0.00001	0.00001	0.01871498	-176.3286674
1A_1A_B11	1294	0.000582428	0.00001	0.02099834	-187.3848944
1A_1A_B12	1453	0.00001	0.00001	0.005085773	-139.9432642
1A_1A_B1	1423	0.00001	1E-05	0.011355236	-181.9586732
1A_1A_B2	1429	0.00001	0.00001	0.007220954	-174.1006714
1A_1A_B3	1491	0.00001	0.00001	0.004259624	-155.6033401
1A_1A_B4	1427	0.00001	0.00001	0.013039663	-162.8652873
1A_1A_B5	1357	0.00001	0.00001	0.014666612	-158.8911431
1A_1A_B7	1462	0.000661077	0.00001	0.013982943	-214.4185538
1A_1A_B8	1393	0.001597041	0.00001	0.01357925	-204.4168135
1A_1A_B9	1367	0.001502288	0.00001	0.022007427	-191.9761969
1A_1A_C10	1397	0.001963675	0.00001	0.008327496	-172.0401935
1A_1A_C11	1298	0.00127823	0.00001	0.011008373	-165.3145776
1A_1A_C12	1370	0.001289052	0.00001	0.003503925	-144.5072647
1A_1A_C1	1542	0.000328293	0.00001	0.005034755	-149.4222469
1A_1A_C3	1527	0.00001	0.00001	0.010480489	-168.0172117
1A_1A_C4	1400	0.00001	0.00001	0.005113516	-148.6875062
1A_1A_C5	1385	0.00001	0.00001	0.008400893	-181.0044054
1A_1A_C6	1147	0.003348777	0.00001	0.025173613	-205.8332457
1A_1A_C7	1385	0.00001	0.00001	0.009280225	-181.418769
1A_1A_C8	1462	0.00001	0.00001	0.021068233	-181.9094534
1A_1A_C9	1239	0.002670115	0.00001	0.024634774	-222.9603432
1A_1A_D10	1160	0.002154067	0.00001	0.038472252	-198.574425
1A_1A_D11	1477	0.00001	1E-05	0.01062842	-165.8931995
1A_1A_D12	1466	0.00001	0.00001	0.012641423	-194.4723186
1A_1A_D1	1516	0.00001	0.00001	0.006912311	-168.6203304
1A_1A_D2	1241	0.00001	0.00001	0.022919121	-184.6849899
